"title","url","views","posted_date","channel_name","channel_url","thumbnail","embeded_code","duration","description","category","plays_at","captions","play_log","clip_cleared","clip_contact"
"Wake - Hillsong Young And Free - Piano Tutorial","https://youtube.com/watch?v=0_mt-bsqpRg","9.6K views","1 year ago","My Worship Piano","https://youtube.com/channel/UCf0QrT6Yzq-xUSXk1XY8fhQ","https://i.ytimg.com/vi/0_mt-bsqpRg/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDgUwQbCdVPJC5lWm0rrQ2fnkehUw","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/0_mt-bsqpRg"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","4:28","Song lyrics At break of day, in hope we rise We speak Your Name, we lift our eyes Tune our hearts into Your beat Where we walk, ...","","","","","",""
"Can Gox - Wake","https://youtube.com/watch?v=Uuv-LgIFNeQ","1.1M views","10 years ago","EROL ERGÜN","https://youtube.com/c/EROLERG%C3%9CN85","https://i.ytimg.com/vi/Uuv-LgIFNeQ/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB8jApF3TD-n8abRCkz9ec_nAxbPg","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Uuv-LgIFNeQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","2:26","","","","","","",""
"Wake | Worship dance with lyrics","https://youtube.com/watch?v=isEn1YER5nk","86K views","1 year ago","Angel Developing","https://youtube.com/channel/UCtz_CDjM5iSo08tgTUebZ9A","https://i.ytimg.com/vi/isEn1YER5nk/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLASvnh5U8JO1APZyiRGCJDSnxJ72w","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/isEn1YER5nk"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","4:31","Kids praise our God!","","","","","",""
"WAKE TRAILER starring: Bijou Phillips, Ian Somerhalder, Jane Seymour, and Danny Masterson","https://youtube.com/watch?v=4ymTUYWhFt4","342K views","12 years ago","BullMarketEnt","https://youtube.com/user/BullMarketEnt","https://i.ytimg.com/vi/4ymTUYWhFt4/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC_VwBLRTWiKHh7PVsHRgM2UgyEMg","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/4ymTUYWhFt4"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","2:25","Synopsis: When things get tough for offbeat Carys Reitman (Bijou Phillips), she does what any emotionally isolated, modern girl ...","","","","","",""
"Fetty Wap - Wake Up [Official Video]","https://youtube.com/watch?v=LbARTyio_0Q","134M views","6 years ago","Harlem Fetty","https://youtube.com/channel/UC_eQfAQjj6mYj92l3SBmIdg","https://i.ytimg.com/vi/LbARTyio_0Q/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCThf69BEftrIzpt1Q_GI-TEso1RQ","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/LbARTyio_0Q"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","4:00","CLEAN ▻iTunes: http://flyt.it/WakeUpCln ▻Apple Music: http://flyt.it/WakeUpApplCln ▻Spotify: http://flyt.it/WakeUpSpotifycln ...","","","","","",""
"WAKE (Hillsong Young & Free Cover) by Sarah Reeves featuring Elise Miller","https://youtube.com/watch?v=vaYHUnK9lhU","2.8M views","8 years ago","Sarah Reeves","https://youtube.com/channel/UCGxcgfDw8p2FZ6PFsaQHFhw","https://i.ytimg.com/vi/vaYHUnK9lhU/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAq-JROVW_DowhLHbGbxoLxCOeGKQ","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/vaYHUnK9lhU"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","3:30","BOOKING: To book Sarah for your event please contact info@sarahreevesmusic.com.","","","","","",""
"Harold Melvin & The Blue Notes - Wake up Everybody (Official Audio) ft. Teddy Pendergrass","https://youtube.com/watch?v=OOxoeGL3tTo","1.4M views","6 years ago","Harold Melvin & The Blue Notes","https://youtube.com/channel/UCQOaV8EJBsZw7hGXOcUWmcg","https://i.ytimg.com/vi/OOxoeGL3tTo/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLARq3mIRXoPmsBKBNoRsvyPjm2igg","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/OOxoeGL3tTo"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","7:34","Chorus: The world won't get no better If we just let it be, na, na, na, na, na, na The world won't get no better We gotta change it, ...","","","","","",""
"Wake Up! School Assembly Song and Dance from Songs For EVERY Assembly by Out of the Ark Music","https://youtube.com/watch?v=1gUbdNbu6ak","7.4M views","4 years ago","Out of the Ark Music","https://youtube.com/c/outoftheark","https://i.ytimg.com/vi/1gUbdNbu6ak/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC2-qxJGYHSlosozrRWLdbuRicWng","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/1gUbdNbu6ak"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","2:29","Wake the school up and get dancing with Out of the Ark's Wake Up! assembly song and dance routine from Songs For Every ...","","","","","",""
"Wake Up Huggy Wuggy - Poppy Playtime - LittleBigPlanet 3 | EpicLBPTime #shorts","https://youtube.com/shorts/6XeBuMstbvQ","20M views","5 months ago","EpicLBPTime","https://youtube.com/c/EpicLBPTime","https://i.ytimg.com/vi/6XeBuMstbvQ/hq720_2.jpg?sqp=-oaymwEdCJUDENAFSFXyq4qpAw8IARUAAIhCcAHAAQbQAQE=&rs=AOn4CLAKpS0U3VzTmRKZZZz2ziD1q7tJOA","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/https://youtube.com/shorts/6XeBuMstbvQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","SHORTS","Huggy Wuggy tries to wake up Poppy. These characters are from Poppy Playtime. Made In LittleBigPlanet 3. This is PS5 ...","","","","","",""
"Don't Wake the Others","https://youtube.com/watch?v=80dztyUyFo8","15M views","5 months ago","Daily Dose Of Internet","https://youtube.com/c/DailyDoseOfInternet","https://i.ytimg.com/vi/80dztyUyFo8/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDo_fPC3EQ6j8tqWZLES8A24JtCzQ","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/80dztyUyFo8"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","2:31","Hello everyone, this is YOUR Daily Dose of Internet. In this video, some people are buried in sand on a beach. Links To Sources: ...","","","","","",""
"[Teaser] SAGONG_EE_HO(사공이호) _ WAKE UP","https://youtube.com/watch?v=RQL8ydYgSLU","7.8K views","13 hours ago","1theK (원더케이)","https://youtube.com/c/1theK","https://i.ytimg.com/vi/RQL8ydYgSLU/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDpLuIo5b4QOpfLMNk7wuK9CFuH_A","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/RQL8ydYgSLU"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","0:30","[Teaser] SAGONG_EE_HO(사공이호) _ WAKE UP Artist : SAGONG_EE_HO(사공이호) Title : WAKE UP Release : 2022.06.11 ...","","","","","",""
"EDEN - Wake Up","https://youtube.com/watch?v=YthChN1Wq8M","68M views","6 years ago","MrSuicideSheep","https://youtube.com/user/MrSuicideSheep","https://i.ytimg.com/vi/YthChN1Wq8M/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCC-ytPQJ9EppfAMlyN04nOnevTsA","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/YthChN1Wq8M"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","4:40","EDEN - Wake Up ⬙ FAVOURITES ON SPOTIFY ⬙ ⇥ http://mrsuicidesheep.com/favourites 'Feeling ...","","","","","",""
"Baby SiSteR Won't WaKe Up!","https://youtube.com/watch?v=VHH0hmQLnpo","47K views","1 day ago","Tannerites","https://youtube.com/c/Tannerites","https://i.ytimg.com/vi/VHH0hmQLnpo/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDo21_CZLghgcFJB_KDklpATGyrWQ","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/VHH0hmQLnpo"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","11:22","Lizzy turned into a baby today and Canyon worked so hard to help his baby sister! Canyon always had older sisters but this was ...","","","","","",""
"Hillsong Young & Free - Wake - TikTok DouYinBGM","https://youtube.com/watch?v=pUKM44qEscM","44K views","7 months ago","Seven Colours","https://youtube.com/c/SevenColours7","https://i.ytimg.com/vi/pUKM44qEscM/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCkgaJj6V7IXV5Y3U-fg1KOrTY85w","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/pUKM44qEscM"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","4:15","SevenColours #TikTokMusic #NhacDouYin #TikTokChina #DouYinBGM #DJ抖音版 #抖音remix #version2020 #version2021 ...","","","","","",""
"Wake Me Up (Avicii) | One Voice Children's Choir cover","https://youtube.com/watch?v=GNfQfloAKfg","4.3M views","3 months ago","One Voice Children's Choir","https://youtube.com/channel/UCRa07c47CSfHHC7DbXMgbuQ","https://i.ytimg.com/vi/GNfQfloAKfg/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAOMQ8oFhH5jfU3Cw-bOIiVyK0TxA","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/GNfQfloAKfg"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","4:05","==vv==vv==vv== ♪ Lyrics ♪ Feeling my way through the darkness Guided by a beating heart I can't tell where the journey will ...","","","","","",""
"「Lyrics」Wake - Hillsong Young & Free ♪ || Kain Remastered | 抖音 | TikTok","https://youtube.com/watch?v=ZI45AJktua0","707K views","8 months ago","Kain Music Lyrics ","https://youtube.com/channel/UCR-KnB75LlO08m13HBspW8A","https://i.ytimg.com/vi/ZI45AJktua0/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBC8iC7xQh2gN5iCmH0MaefPGEWWw","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ZI45AJktua0"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","4:36","歌詞在下面❖Vui lòng bật phụ đề để xem Vietsub❖ ❖ 各位，此視頻具有字幕呀！ ❖ Hello, everyone! This video has subtitles!","","","","","",""
"Hillsong Young & Free - Wake | IMISS CHOREOGRAPHY","https://youtube.com/watch?v=HX2IN9Z6xBM","158K views","1 year ago","IMI DANCE / IMI ENT","https://youtube.com/c/IMIDANCE1","https://i.ytimg.com/vi/HX2IN9Z6xBM/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCRtxVGwfXQQAnL-vMeVyokKTv5fQ","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/HX2IN9Z6xBM"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","1:17","Follow our instagram, we post dance content daily! Come say hi, we are located in Sydney Australia. Choreography: ...","","","","","",""
"30 Scary Videos That Will Wake You Up Tonight","https://youtube.com/watch?v=7dk_Aw2iS0k","1.8M views","4 months ago","Chills","https://youtube.com/c/Chills15","https://i.ytimg.com/vi/7dk_Aw2iS0k/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDNh7VcP9RCTEo3U6t_Qwc8rn4Ygw","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/7dk_Aw2iS0k"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","35:30","A lot about the world may feel uncertain right now. In these times of incertitude, one seeks a pillar of reliability — and there's ...","","","","","",""
"I DONT LIKE THIS CHRISSY; WAKE UP[]Butterfly Reign angst[]","https://youtube.com/watch?v=7PzT7aQtjMQ","2.4K views","17 hours ago","AsherFlame13🎗","https://youtube.com/channel/UCFnoX9ML5A31NIwPhPvUkAg","https://i.ytimg.com/vi/7PzT7aQtjMQ/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD5jeNWySpVysjHccGzMiuGQwHLLA","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/7PzT7aQtjMQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","0:08","POV: Theseus overworks himself to the point of passing out during a talk with Dream NOT CANON Butterfly Reign by Silent Teyz: ...","","","","","",""
"7evin7ins - Wake Up (Lyrics)","https://youtube.com/watch?v=tLXprtAue4A","31K views","2 days ago","Music Cavier","https://youtube.com/channel/UCDVOga9XlwAK_6PkWLGn6EQ","https://i.ytimg.com/vi/tLXprtAue4A/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDA3_-K5_rnP6N1pTEZNL800wH2HQ","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/tLXprtAue4A"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","2:55","🎙️ Lyrics 7evin7ins - Wake Up [Verse 1] How do you sleep at night knowing you fucked up and it's all your fault? (Hey, hey) I ...","","","","","",""
